Latitude,Longitude,Avg_Humidity,Avg_Temp,Avg_Temp_Max,Avg_Temp_Min
41.88333,23.11667,7,-26,134,123
49.9849,18.40433,51,75,66,85
61.49911,23.78712,92,85,180,-32
36.72556,10.85528,95,-13,144,37
53.93933,36.68639,5,30,39,197
10.89686,-74.886,26,-44,130,80
41.89611,20.90417,16,119,165,75
38.06667,23.78333,36,81,101,6
-3.63333,32.18333,81,43,105,65
42.86772,73.17623,88,197,-17,55
54.77306,22.86306,14,-3,75,138
52.3666,4.9027,4,126,-20,135
52.0488,20.44599,25,-39,2,100
41.5854,-8.5229,66,174,-10,39
28.97091,102.77126,50,132,147,159
-7.129,107.0331,97,176,-21,61
7.81667,-80.28333,36,48,94,65
-27.65862,30.32166,21,200,-25,54
-22.78889,-50.2175,11,126,100,-17
-29.50003,-63.69377,40,-3,-15,117
-22.84694,-45.22972,15,-7,-18,-4
37.74722,126.48556,57,67,39,66
50.39189,18.1368,20,88,83,102
-8.0381,111.3975,69,28,112,-26
43.4833,-1.4833,16,117,142,7
18.41538,-70.03317,77,106,67,119
58.356,12.3906,44,144,90,127
-30.71999,25.09718,19,180,-28,-47
18.8333,-99.9833,68,120,124,89
-31.89618,-61.85984,33,55,135,181
-7.0534,111.2919,66,28,172,-31
-41.4,173.05,37,161,-32,60
10.504,122.8979,14,149,-26,54
44.33669,86.01212,42,79,60,-4
15.04568,108.77724,53,164,136,134
42.74053,123.84958,97,67,32,-46
41.28102,112.45297,20,-40,126,87
46.83056,29.47111,11,-30,162,116
-18.41917,-49.21528,32,25,69,164
31.90806,121.57139,77,59,163,165
11.92424,13.60103,67,-11,87,35
43.3476,3.219,17,151,116,82
39.0966,-94.7495,30,27,198,169
-6.28872,145.86548,26,108,104,4
-7.0359,108.0769,24,-20,48,-14
-13.6725,-71.67944,14,8,183,103
50.37112,33.99099,41,189,-6,131
29.31092,119.10698,6,117,64,192
-6.9123,112.531,2,54,83,51
43.65,0.5833,9,29,166,-12
49.9913,17.96074,55,18,50,79
32.1,131.4,76,106,124,41
52.90083,21.55578,80,-5,146,108
58.0038,55.6721,37,49,159,123
10.00169,-67.01464,4,86,133,35
16.17241,120.06074,81,-33,-13,117
1.73889,33.15944,15,181,143,101
58.07756,60.7202,70,199,180,151
43.99,22.8725,72,115,196,199
32.20076,79.18447,71,-28,42,151
49.98103,19.55017,79,139,124,80
9.13972,125.55972,31,-22,45,162
-8.8512,121.6439,90,-1,91,-5
-6.9649,111.7878,60,25,49,59
-8.92947,-74.70771,25,59,182,142
52.415,104.04944,50,-49,102,133
41.77972,20.08361,39,29,112,167
42.82944,74.1083,38,159,-20,5
-8.0722,111.9026,59,68,-43,38
-6.8153,106.3752,93,60,-36,154
50.28249,24.64279,10,171,164,195
32.66896,106.79998,80,-29,9,104
29.8841,110.45615,19,158,10,-28
55.84376,48.51784,54,-1,144,124
35.29607,25.01587,23,15,43,138
9.46694,125.57722,27,132,143,27
59.3347,57.2592,93,-14,189,155
43.6109,3.8772,47,174,4,67
30.32223,112.06667,86,126,118,56
14.00308,102.80541,30,110,191,33
-13.87504,-171.64181,71,92,149,63
48.2,3.2833,59,78,141,142
39.7655,-89.7293,38,30,196,188
46.62282,127.57244,55,59,-24,10
56.8793,16.6563,79,-34,109,114
22.55733,114.2117,25,34,67,166
29.39557,108.06579,39,28,90,86
29.96009,119.35471,33,48,93,153
25.80062,100.57435,19,0,169,150
11.59364,37.39077,74,67,-8,25
9.34077,118.1196,87,-15,127,188
30.60752,110.82633,92,9,24,72
25.61172,119.4549,43,-31,194,156
50.9297,38.6817,49,-26,76,61
-38.82803,-62.69355,67,-2,49,-7
-4.4651,102.90386,90,142,180,117
39.89472,22.18861,29,-35,113,131
34.69414,109.1156,45,95,-13,-18
9.05,6.15,52,22,48,-22
9.43056,-13.08806,16,181,162,32
34.49376,69.27427,14,-5,37,197
-23.3863,-48.72441,70,33,92,110
13.86639,120.98139,98,196,51,152
-29.51694,-50.77778,53,-49,192,-1
32.4589,-93.7143,20,-8,114,143
18.55542,-69.40814,28,119,163,18
5.51972,-72.8875,30,139,23,195
35.32528,139.89111,55,119,127,16
41.4,-8.6667,10,74,73,177
47.2932,5.0046,78,142,46,69
29.04855,119.73856,78,7,176,50
-14.01333,-73.83972,49,144,125,107
57.4872,12.0761,89,-47,128,200
41.15,-8.0333,53,126,104,-5
23.41013,112.10695,34,-16,163,45
-27.17806,-51.50472,43,107,57,116
,,82,116,156,33
51.84861,41.46056,4,-28,4,-46
44.77465,20.53207,23,137,155,183
17.60833,120.63806,46,68,-44,84
31.02672,114.10684,65,-49,-23,-32
39.66667,22.38333,27,177,186,18
