,corn,wheat
0,1,1
1,2,3
2,2,3
3,1,1
4,1,1
5,1,1
6,1,1
7,1,2
8,1,1
9,2,2
10,2,2
11,1,1
12,1,3
13,1,2
14,1,2
15,1,2
16,2,3
17,2,2
18,1,1
19,1,1
20,2,3
21,2,3
22,2,2
23,2,2
24,1,2
25,1,1
26,1,1
27,1,1
28,1,3
29,2,2
30,1,1
31,1,3
32,3,3
33,1,1
34,2,2
35,1,2
36,1,1
37,3,3
38,1,2
39,2,2
40,1,1
41,1,2
42,3,3
43,1,1
44,1,2
45,2,2
46,1,1
47,2,3
48,1,1
49,1,1
50,2,3
51,1,1
52,1,1
53,1,2
54,2,2
55,1,1
56,2,3
57,2,2
58,2,3
59,2,3
60,1,1
61,2,3
62,2,2
63,2,2
64,1,1
65,1,1
66,1,1
67,1,1
68,2,2
69,1,1
70,3,3
71,2,3
72,2,3
73,1,1
74,2,3
75,1,1
76,2,2
77,1,2
78,1,2
79,1,1
80,2,2
81,2,3
82,1,2
83,1,2
84,1,1
85,2,2
86,2,2
87,1,1
88,1,2
89,1,2
90,1,1
91,2,2
92,3,4
93,1,1
94,2,2
95,1,1
96,2,3
97,2,3
98,0,0
99,0,0
100,2,4
101,1,1
102,1,3
103,1,1
104,1,2
105,2,2
106,3,3
107,2,2
108,1,1
109,2,3
110,2,3
111,2,3
112,1,2
113,0,0
114,1,2
115,1,1
116,1,1
117,2,2
118,1,2
119,1,2
120,1,1
121,1,2
122,2,2
123,2,3
124,0,1
125,2,3
126,1,2
127,2,4
128,1,1
129,1,2
130,2,2
131,1,1
132,1,2
133,2,2
134,1,2
135,1,2
136,2,2
137,1,1
138,1,1
139,1,1
140,2,3
141,1,1
142,1,2
143,1,1
144,2,3
145,1,1
146,2,2
147,1,1
148,2,2
149,0,0
150,0,2
151,2,2
152,1,3
153,3,3
154,1,1
155,1,1
156,1,1
157,3,4
158,0,1
159,1,1
160,2,3
161,2,3
162,2,2
163,2,3
164,2,2
165,1,1
166,2,2
167,2,2
168,2,2
169,1,2
170,1,3
171,1,2
172,2,2
173,1,2
174,1,1
175,1,2
176,1,2
177,2,2
178,2,3
179,2,2
180,2,3
181,2,2
182,2,2
183,1,2
184,1,1
185,1,1
186,2,3
187,1,2
188,1,2
189,1,2
190,1,1
191,1,2
192,1,2
193,1,1
194,1,2
195,1,2
196,2,2
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,2,2
203,2,2
204,2,2
205,1,2
206,1,1
207,1,2
208,2,2
209,2,2
210,1,1
211,2,2
212,1,1
213,2,2
214,2,3
215,1,1
216,1,2
217,1,1
218,1,1
219,2,2
220,1,1
221,1,2
222,1,1
223,1,2
224,1,1
225,2,3
226,2,2
227,3,3
228,1,2
229,1,2
230,1,1
231,1,1
232,1,1
233,2,4
234,2,2
235,2,2
236,1,1
237,1,1
238,2,2
239,1,1
240,2,2
241,1,2
242,1,1
243,1,1
244,1,1
245,3,3
246,2,3
247,1,2
248,2,3
249,1,3
250,1,1
251,2,3
252,2,4
253,1,2
254,2,3
255,0,0
256,1,2
257,1,2
258,0,1
259,0,0
260,1,2
261,1,1
262,1,3
263,2,2
264,2,2
265,1,2
266,1,2
267,1,1
268,2,3
269,2,2
270,1,1
271,2,2
272,2,3
273,1,3
274,1,1
275,1,1
276,0,0
277,2,3
278,1,1
279,1,2
280,0,0
281,1,1
282,2,2
283,1,1
284,2,2
285,1,1
286,1,1
287,1,2
288,1,2
289,1,1
290,1,2
291,2,3
292,2,3
293,1,2
294,1,1
295,1,1
296,1,2
297,1,1
298,1,1
299,2,2
300,1,1
301,2,2
302,1,1
303,1,2
304,1,2
305,2,2
306,1,1
307,1,1
308,1,1
309,1,1
310,1,3
311,1,1
312,1,1
313,3,3
314,2,2
315,1,1
316,1,1
317,1,2
318,1,1
319,1,2
320,1,1
321,1,1
322,1,2
323,1,1
324,2,2
325,2,2
326,1,1
327,2,2
328,1,1
329,2,3
330,1,1
331,1,2
332,1,1
333,2,2
334,2,2
335,2,2
336,1,1
337,2,2
338,2,2
339,2,2
340,1,1
341,1,1
342,2,3
343,2,3
344,1,1
345,1,1
346,2,3
347,1,1
348,1,2
349,1,2
350,1,1
351,2,2
352,1,2
353,1,1
354,1,1
355,1,1
356,1,2
357,2,2
358,2,2
359,1,1
360,1,1
361,3,3
362,1,1
363,1,1
364,1,2
365,1,2
366,1,1
367,1,2
368,1,1
369,1,2
370,2,2
371,1,3
372,1,2
373,1,1
374,1,1
375,2,2
376,2,3
377,1,1
378,1,2
379,1,3
380,1,2
381,1,1
382,2,3
383,1,1
384,1,1
385,1,1
386,1,1
387,0,0
388,1,3
389,1,1
390,2,2
391,1,1
392,2,2
393,2,2
394,2,2
395,1,1
396,1,2
397,1,2
398,2,2
399,2,2
400,1,2
401,1,1
402,0,0
403,2,3
404,1,2
405,2,2
406,1,1
407,2,2
408,2,2
409,0,0
410,1,1
411,1,1
412,1,1
413,0,1
414,2,3
415,1,1
416,2,2
417,1,2
418,1,2
419,1,2
420,1,1
421,1,2
422,2,2
423,1,1
424,1,2
425,2,3
426,2,2
427,1,1
428,1,1
429,1,1
430,1,2
431,1,1
432,3,4
433,2,3
434,1,2
435,1,1
436,1,2
437,1,1
438,1,1
439,1,2
440,1,1
441,1,2
442,2,3
443,1,1
444,2,3
445,1,3
446,1,2
447,1,1
448,1,2
449,1,1
450,3,3
451,2,3
452,1,1
453,3,3
454,1,2
455,2,4
456,2,3
457,2,2
458,1,2
459,1,2
460,0,2
461,1,1
462,1,1
463,2,2
464,1,2
465,2,2
466,2,2
467,2,3
468,2,2
469,2,3
470,1,3
471,1,1
472,1,3
473,1,1
474,2,3
475,1,1
476,0,0
477,1,2
478,1,1
479,2,2
480,1,2
481,1,3
482,0,1
483,2,2
484,2,4
485,1,2
486,1,2
487,1,1
488,1,1
489,1,1
490,2,2
491,2,2
492,2,3
493,2,4
494,1,2
495,3,3
496,1,3
497,2,2
498,1,2
499,1,2
500,1,2
501,2,3
502,1,1
503,0,0
504,1,1
505,0,0
506,1,2
507,1,1
508,0,0
509,1,2
510,2,3
511,2,3
512,2,3
513,1,1
514,1,1
515,1,1
516,1,1
517,1,2
518,1,3
519,1,3
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
526,0,0
527,1,2
528,1,3
529,1,2
530,1,2
531,2,2
532,1,3
533,1,2
534,1,1
535,1,2
536,2,2
537,1,2
538,1,1
539,3,3
540,0,0
541,1,1
542,1,2
543,2,2
544,1,1
545,1,3
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,2
552,1,2
553,1,2
554,2,2
555,2,2
556,1,2
557,1,2
558,2,2
559,1,1
560,1,1
561,2,2
562,2,2
563,1,2
564,1,1
565,1,1
566,2,4
567,1,2
568,1,1
569,2,3
570,1,2
571,1,1
572,1,2
573,1,1
574,2,2
575,1,1
576,1,2
577,1,1
578,2,2
579,1,1
580,2,2
581,0,0
582,2,3
583,1,2
584,0,0
585,1,1
586,3,3
587,2,2
588,2,2
589,2,3
590,2,2
591,1,2
592,1,2
593,1,1
594,2,2
595,1,2
596,1,2
597,1,1
598,1,1
599,1,1
600,1,1
601,1,2
602,2,2
603,1,1
604,2,2
605,2,2
606,2,2
607,2,2
608,1,1
609,1,1
610,1,2
611,2,2
612,1,1
613,1,1
614,1,1
615,2,3
616,1,3
617,2,2
618,1,1
619,2,2
620,1,2
621,2,2
622,1,1
623,1,1
624,1,1
625,2,3
626,3,3
627,1,1
628,1,1
629,1,2
630,2,2
631,1,1
632,1,1
633,2,2
634,1,1
635,1,1
636,1,1
637,2,2
638,1,1
639,1,1
640,1,2
641,2,3
642,1,1
643,2,2
644,1,2
645,1,2
646,1,1
647,2,3
648,2,2
649,2,2
650,1,3
651,1,3
652,2,3
653,1,1
654,1,1
655,2,3
656,1,2
657,1,2
658,1,3
659,2,2
660,2,3
661,1,1
662,1,1
663,1,1
664,2,3
665,1,1
666,3,4
667,1,2
668,0,0
669,1,1
670,2,2
671,2,2
672,1,2
673,1,1
674,1,1
675,1,1
676,1,1
677,1,2
678,1,2
679,2,2
680,1,2
681,2,3
682,1,2
683,3,3
684,0,1
685,2,2
686,1,2
687,1,1
688,1,2
689,2,2
690,1,1
691,1,2
692,1,1
693,1,2
694,1,2
695,2,3
696,1,2
697,2,2
698,3,3
699,2,2
700,1,1
701,2,4
702,1,2
703,1,2
704,1,1
705,2,4
706,1,2
