index,corn,rice
0,1,1
1,2,3
2,2,3
3,1,2
4,1,2
5,1,2
6,1,2
7,1,2
8,1,1
9,2,3
10,2,3
11,1,3
12,1,2
13,1,4
14,1,4
15,1,2
16,2,4
17,2,4
18,1,3
19,1,2
20,2,5
21,2,2
22,2,3
23,2,4
24,1,4
25,1,2
26,1,3
27,1,2
28,1,3
29,2,3
30,1,2
31,1,3
32,3,5
33,1,2
34,2,4
35,1,3
36,1,1
37,3,5
38,1,2
39,2,3
40,1,1
41,1,4
42,3,4
43,1,2
44,1,3
45,2,2
46,1,2
47,2,5
48,1,2
49,1,3
50,2,4
51,1,3
52,1,2
53,1,2
54,2,3
55,1,2
56,2,3
57,2,4
58,2,4
59,2,4
60,1,2
61,2,4
62,2,3
63,2,3
64,1,1
65,1,2
66,1,3
67,1,2
68,2,5
69,1,3
70,3,4
71,2,3
72,2,4
73,1,3
74,2,5
75,1,3
76,2,2
77,1,4
78,1,3
79,1,1
80,2,2
81,2,4
82,1,1
83,1,3
84,1,3
85,2,4
86,2,3
87,1,1
88,1,3
89,1,3
90,1,2
91,2,3
92,3,5
93,1,2
94,2,3
95,1,3
96,2,3
97,2,4
98,0,2
99,0,2
100,2,4
101,1,3
102,1,4
103,1,1
104,1,1
105,2,2
106,3,5
107,2,3
108,1,2
109,2,4
110,2,4
111,2,4
112,1,3
113,0,2
114,1,5
115,1,2
116,1,3
117,2,2
118,1,3
119,1,2
120,1,2
121,1,4
122,2,2
123,2,3
124,0,3
125,2,4
126,1,4
127,2,3
128,1,1
129,1,2
130,2,2
131,1,2
132,1,3
133,2,4
134,1,2
135,1,3
136,2,2
137,1,2
138,1,3
139,1,3
140,2,3
141,1,2
142,1,3
143,1,2
144,2,4
145,1,2
146,2,3
147,1,2
148,2,3
149,0,1
150,0,4
151,2,4
152,1,3
153,3,4
154,1,2
155,1,2
156,1,1
157,3,5
158,0,1
159,1,2
160,2,4
161,2,4
162,2,2
163,2,2
164,2,3
165,1,2
166,2,3
167,2,3
168,2,2
169,1,2
170,1,3
171,1,4
172,2,4
173,1,3
174,1,3
175,1,4
176,1,1
177,2,3
178,2,2
179,2,3
180,2,3
181,2,3
182,2,5
183,1,3
184,1,2
185,1,2
186,2,5
187,1,2
188,1,3
189,1,3
190,1,2
191,1,4
192,1,3
193,1,1
194,1,2
195,1,3
196,2,4
197,1,2
198,1,2
199,1,2
200,1,2
201,1,3
202,2,5
203,2,3
204,2,2
205,1,2
206,1,3
207,1,3
208,2,4
209,2,2
210,1,1
211,2,4
212,1,1
213,2,3
214,2,2
215,1,2
216,1,1
217,1,2
218,1,2
219,2,2
220,1,2
221,1,2
222,1,1
223,1,2
224,1,2
225,2,2
226,2,3
227,3,5
228,1,2
229,1,2
230,1,2
231,1,1
232,1,2
233,2,5
234,2,5
235,2,5
236,1,3
237,1,2
238,2,3
239,1,2
240,2,2
241,1,2
242,1,3
243,1,2
244,1,3
245,3,4
246,2,3
247,1,4
248,2,3
249,1,2
250,1,3
251,2,4
252,2,4
253,1,3
254,2,3
255,0,1
256,1,2
257,1,4
258,0,3
259,0,2
260,1,4
261,1,3
262,1,4
263,2,3
264,2,2
265,1,2
266,1,3
267,1,2
268,2,2
269,2,4
270,1,2
271,2,2
272,2,5
273,1,3
274,1,2
275,1,2
276,0,1
277,2,4
278,1,2
279,1,3
280,0,2
281,1,3
282,2,3
283,1,3
284,2,3
285,1,2
286,1,2
287,1,2
288,1,3
289,1,2
290,1,2
291,2,3
292,2,5
293,1,2
294,1,2
295,1,3
296,1,3
297,1,3
298,1,2
299,2,3
300,1,2
301,2,3
302,1,3
303,1,2
304,1,2
305,2,5
306,1,2
307,1,3
308,1,3
309,1,3
310,1,2
311,1,1
312,1,2
313,3,5
314,2,3
315,1,1
316,1,1
317,1,2
318,1,2
319,1,1
320,1,2
321,1,1
322,1,2
323,1,3
324,2,3
325,2,3
326,1,2
327,2,3
328,1,1
329,2,3
330,1,2
331,1,3
332,1,3
333,2,2
334,2,2
335,2,4
336,1,3
337,2,2
338,2,2
339,2,3
340,1,1
341,1,2
342,2,3
343,2,4
344,1,1
345,1,3
346,2,3
347,1,3
348,1,2
349,1,3
350,1,1
351,2,4
352,1,3
353,1,1
354,1,2
355,1,2
356,1,3
357,2,3
358,2,3
359,1,1
360,1,2
361,3,5
362,1,3
363,1,3
364,1,2
365,1,4
366,1,2
367,1,3
368,1,2
369,1,4
370,2,4
371,1,2
372,1,2
373,1,2
374,1,3
375,2,3
376,2,4
377,1,1
378,1,2
379,1,4
380,1,2
381,1,1
382,2,3
383,1,2
384,1,2
385,1,2
386,1,2
387,0,2
388,1,4
389,1,2
390,2,3
391,1,3
392,2,5
393,2,2
394,2,4
395,1,3
396,1,3
397,1,2
398,2,5
399,2,4
400,1,4
401,1,2
402,0,1
403,2,5
404,1,3
405,2,3
406,1,3
407,2,3
408,2,2
409,0,2
410,1,2
411,1,2
412,1,3
413,0,2
414,2,3
415,1,2
416,2,2
417,1,4
418,1,4
419,1,2
420,1,2
421,1,1
422,2,2
423,1,2
424,1,3
425,2,4
426,2,3
427,1,2
428,1,1
429,1,3
430,1,2
431,1,2
432,3,5
433,2,4
434,1,2
435,1,2
436,1,3
437,1,1
438,1,3
439,1,3
440,1,2
441,1,3
442,2,5
443,1,2
444,2,4
445,1,2
446,1,3
447,1,2
448,1,2
449,1,3
450,3,5
451,2,3
452,1,2
453,3,3
454,1,3
455,2,4
456,2,4
457,2,3
458,1,2
459,1,4
460,0,2
461,1,3
462,1,1
463,2,3
464,1,2
465,2,3
466,2,3
467,2,2
468,2,3
469,2,3
470,1,3
471,1,2
472,1,5
473,1,2
474,2,4
475,1,2
476,0,1
477,1,3
478,1,2
479,2,3
480,1,3
481,1,4
482,0,2
483,2,3
484,2,4
485,1,2
486,1,2
487,1,1
488,1,2
489,1,2
490,2,5
491,2,2
492,2,4
493,2,4
494,1,3
495,3,4
496,1,4
497,2,4
498,1,1
499,1,3
500,1,2
501,2,4
502,1,3
503,0,1
504,1,1
505,0,2
506,1,3
507,1,2
508,0,1
509,1,2
510,2,3
511,2,6
512,2,5
513,1,2
514,1,1
515,1,3
516,1,1
517,1,2
518,1,4
519,1,3
520,1,1
521,1,3
522,1,2
523,1,2
524,1,2
525,1,2
526,0,1
527,1,2
528,1,3
529,1,2
530,1,4
531,2,4
532,1,5
533,1,4
534,1,2
535,1,4
536,2,2
537,1,3
538,1,2
539,3,3
540,0,1
541,1,1
542,1,4
543,2,2
544,1,3
545,1,3
546,1,3
547,1,2
548,1,2
549,1,2
550,1,3
551,1,3
552,1,4
553,1,3
554,2,3
555,2,3
556,1,3
557,1,2
558,2,2
559,1,3
560,1,2
561,2,3
562,2,4
563,1,2
564,1,3
565,1,1
566,2,5
567,1,3
568,1,3
569,2,3
570,1,4
571,1,3
572,1,2
573,1,3
574,2,3
575,1,2
576,1,3
577,1,2
578,2,2
579,1,2
580,2,4
581,0,2
582,2,5
583,1,3
584,0,2
585,1,2
586,3,5
587,2,3
588,2,4
589,2,6
590,2,3
591,1,3
592,1,3
593,1,2
594,2,3
595,1,3
596,1,4
597,1,2
598,1,2
599,1,3
600,1,2
601,1,3
602,2,2
603,1,2
604,2,3
605,2,3
606,2,3
607,2,3
608,1,2
609,1,2
610,1,2
611,2,3
612,1,3
613,1,3
614,1,3
615,2,4
616,1,3
617,2,3
618,1,1
619,2,3
620,1,3
621,2,4
622,1,2
623,1,2
624,1,3
625,2,4
626,3,5
627,1,2
628,1,1
629,1,4
630,2,3
631,1,2
632,1,2
633,2,3
634,1,3
635,1,1
636,1,3
637,2,3
638,1,2
639,1,3
640,1,3
641,2,3
642,1,3
643,2,3
644,1,3
645,1,2
646,1,2
647,2,3
648,2,2
649,2,3
650,1,3
651,1,4
652,2,5
653,1,2
654,1,3
655,2,3
656,1,3
657,1,2
658,1,4
659,2,3
660,2,2
661,1,3
662,1,3
663,1,2
664,2,5
665,1,3
666,3,5
667,1,3
668,0,2
669,1,2
670,2,2
671,2,3
672,1,3
673,1,3
674,1,1
675,1,2
676,1,2
677,1,2
678,1,2
679,2,3
680,1,2
681,2,5
682,1,2
683,3,5
684,0,1
685,2,3
686,1,4
687,1,3
688,1,1
689,2,4
690,1,3
691,1,3
692,1,3
693,1,2
694,1,3
695,2,4
696,1,3
697,2,4
698,3,4
699,2,3
700,1,3
701,2,3
702,1,2
703,1,3
704,1,1
705,2,5
706,1,3
